"Brick House";"The Commodores"
"Easy";"The Commodores"
"Do You Love Me";"The Contours"
"Put A Little Love In Your Heart";"David Ruffin"
"Reflections";"Diana Ross & The Supremes"
"Reach Out I'll Be There";"The Four Tops"
"This Old Heart of Mine (Is Weak for You)";"The Isley Brothers"
"ABC";"The Jackson 5"
"What Becomes of the Broken Hearted";"Jimmy Ruffin"
"My Destiny";"Lionel Richie"
"Jimmy Mack";"Martha Reeves & the Vandellas"
"Nowhere to Run";"Martha Reeves & the Vandellas"
"Let's Get It On";"Marvin Gaye"
"What's Going On";"Marvin Gaye"
"It Takes Two";"Marvin Gaye & Kim Weston"
"My Guy";"Mary Wells"
"Love Machine";"The Miracles"
"Super Freak";"Rick James"
"Being with You";"Smokey Robinson"
"The Tracks of My Tears";"Smokey Robinson and The Miracles"
"For Once in My Life";"Stevie Wonder"
"You Can't Hurry Love";"The Supremes"
"Get Ready";"The Temptations"
"Papa Was a Rollin' Stone";"The Temptations"
"Needle in A Haystack";"The Velvelettes"
